url,domain,creation_date,url_length,domain_length,dots_count,hyphens_count,special_chars_count,domain_entropy,domain_age_days
fishbucket.net,fishbucket.net,2003-12-08 15:43:23+00:00,14,14,1,0,0,3.521640636343318,7972.0
xn--hfcego-eib6299c.com,xn--hfcego-eib6299c.com,,23,23,1,3,0,3.8492239123906247,
xn--siepa-rhb9722c.sbi,xn--siepa-rhb9722c.sbi,,22,22,1,3,0,3.8796640049025943,
accounts.xn--mgvcoud-tib0025d.in,accounts.xn--mgvcoud-tib0025d.in,,32,32,2,3,0,4.116729296672175,
mail.digibouzseo.nl,mail.digibouzseo.nl,2025-10-02 00:00:00+00:00,19,19,2,0,0,3.6818808028034025,4.0
scram.cfnlaunchpadcanar.v12kii.c2.kafka.ap-northeast-2.amazonaws.com,scram.cfnlaunchpadcanar.v12kii.c2.kafka.ap-northeast-2.amazonaws.com,2005-08-18 02:10:45+00:00,68,68,7,2,0,4.170995562503256,7354.0
xn--cicipulife-u8a349b.com,xn--cicipulife-u8a349b.com,,26,26,1,3,0,4.074875775583769,
xn--iicicreers-74a35b.com,xn--iicicreers-74a35b.com,,25,25,1,3,0,3.9132696895151087,
xn--iciicarrs-s3a42ca.com,xn--iciicarrs-s3a42ca.com,,25,25,1,3,0,3.5932696895151084,
xn--iccilonnbard-l3b.com,xn--iccilonnbard-l3b.com,,24,24,1,3,0,3.6572682296173893,
xn--pnbida-f9a82n.in,xn--pnbida-f9a82n.in,,20,20,1,3,0,3.484183719779189,
xn--icicibnlc-51a.com,xn--icicibnlc-51a.com,,21,21,1,3,0,3.463280517810811,
mail.tulsibus.com,mail.tulsibus.com,2024-06-13 15:56:48+00:00,17,17,2,0,0,3.381580488309163,479.0
accounts.xn--gvcloud-d0a7685d.in,accounts.xn--gvcloud-d0a7685d.in,,32,32,2,3,0,4.155639062229566,
xn--iicipruife-dib40e.com,xn--iicipruife-dib40e.com,,25,25,1,3,0,3.8292750707107133,
www.email.jsxc.com,www.email.jsxc.com,2006-03-28 06:46:19+00:00,18,18,3,0,0,3.4193819456463714,7132.0
xn--cicicarees-ftd5708f.com,xn--cicicarees-ftd5708f.com,,27,27,1,3,0,4.060262039120377,
www.range86-152apps.carmaxusedcars.com,www.range86-152apps.carmaxusedcars.com,2021-01-30 03:53:13+00:00,38,38,3,1,0,4.1588728296211075,1710.0
fr.frhb.de,fr.frhb.de,,10,10,2,0,0,2.721928094887362,
xn--icicpruife-xxb8391g.com,xn--icicpruife-xxb8391g.com,,27,27,1,3,0,4.050459724065177,
xn--yonousinss-cmb9200g.sbi,xn--yonousinss-cmb9200g.sbi,,27,27,1,3,0,3.81008102052173,
xn--icciombard-yub2n.com,xn--icciombard-yub2n.com,,24,24,1,3,0,3.7720552088742005,
dcmstan.r-dcm.org,dcmstan.r-dcm.org,2024-09-24 16:02:43+00:00,17,17,2,1,0,3.4992275471326924,376.0
xn--ciicareers-9ne6382f.com,xn--ciicareers-9ne6382f.com,,27,27,1,3,0,4.0043444463675275,
www.floridaliferealestate.com,www.floridaliferealestate.com,2014-09-09 00:29:39+00:00,29,29,2,0,0,3.6764409086968683,4045.0
www.rdweb.libbyliburd.co.uk,www.rdweb.libbyliburd.co.uk,2023-11-29 00:00:00+00:00,27,27,4,0,0,3.495628242904209,677.0
xn--cicicarrs-knb1362fa.com,xn--cicicarrs-knb1362fa.com,,27,27,1,3,0,3.986187965046303,
yonobusiness9.sbi,yonobusiness9.sbi,,17,17,1,0,0,3.146286370662104,
xn--icclombard-pnez.com,xn--icclombard-pnez.com,,23,23,1,3,0,3.8492239123906247,
api-managment-zlxkbibjzrdqi-belgiumcentral-01.unique.regional.azure-api.net,api-managment-zlxkbibjzrdqi-belgiumcentral-01.unique.regional.azure-api.net,2014-01-09 14:55:23+00:00,75,75,4,5,0,4.284174605792004,4287.0
www.rds.immobilienmaklerfreiburg.de,www.rds.immobilienmaklerfreiburg.de,,35,35,3,0,0,3.864578373902383,
r9ms26l7.baylib.top,r9ms26l7.baylib.top,2025-05-17 16:51:34+00:00,19,19,2,0,0,3.9321380397593746,141.0
wo-ad21qfibf7t0ltnmj2r1kjp25.w.modal.host,wo-ad21qfibf7t0ltnmj2r1kjp25.w.modal.host,2023-07-31 21:55:35+00:00,41,41,3,1,0,4.503416638553355,797.0
xn--aitl-xva87s.in,xn--aitl-xva87s.in,,18,18,1,3,0,3.4613201402110083,
my.hibgreenbox.com,my.hibgreenbox.com,2024-10-31 09:25:05+00:00,18,18,2,0,0,3.614369445886757,340.0
markdchapelle.workers.dev,markdchapelle.workers.dev,,25,25,2,0,0,3.733660689688186,
xn--icicicrers-84a99d.com,xn--icicicrers-84a99d.com,,25,25,1,3,0,3.7834651896016473,
xn--icicicaeer-e8b626a.com,xn--icicicaeer-e8b626a.com,,26,26,1,3,0,3.690260390968384,
vmotosdistribuidora.f5growth.com.br,vmotosdistribuidora.f5growth.com.br,2022-07-23 00:00:00+00:00,35,35,3,0,0,3.9328743603470455,1171.0
xn--yonobsine-82ba4s.sbi,xn--yonobsine-82ba4s.sbi,,24,24,1,3,0,3.625814583693911,
iconiclab.info,iconiclab.info,,14,14,1,0,0,3.0391486719030705,
